Institution,Ort,Jahr,Indikator,Wert,Bemerkung
Jugendberatung Stadt Zürich,Zürich,2002,Beratungsstunden,4676,
Samowar Bezirk Meilen,Bezirk Meilen,2002,Beratungsfälle,158,
Samowar Bezirk Meilen,Bezirk Meilen,2002,Stunden Beratungsarbeit,1397,
Jugendberatung Stadt Zürich,Zürich,2003,Beratungsstunden,4821,
Samowar Bezirk Meilen,Bezirk Meilen,2003,Beratungsfälle,130,
Samowar Bezirk Meilen,Bezirk Meilen,2003,Stunden Beratungsarbeit,1343,
Jugendberatung Stadt Zürich,Zürich,2004,Beratungsstunden,5028,
Samowar Bezirk Meilen,Bezirk Meilen,2004,Beratungsfälle,176,
Samowar Bezirk Meilen,Bezirk Meilen,2004,Stunden Beratungsarbeit,1712,
Jugendberatung Stadt Zürich,Zürich,2005,Beratungsstunden,4751,
Samowar Bezirk Meilen,Bezirk Meilen,2005,Beratungsfälle,160,
Samowar Bezirk Meilen,Bezirk Meilen,2005,Beratungsgespräche,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2005,Stunden Beratungsarbeit,1550,
Jugendberatung Stadt Zürich,Zürich,2006,Beratungen,429,
Jugendberatung Stadt Zürich,Zürich,2006,Beratungsstunden,4907,
Jugendberatung Stadt Zürich,Zürich,2006,TelEMailBeratung,928,
Samowar Bezirk Meilen,Bezirk Meilen,2006,Beratungsfälle,208,
Samowar Bezirk Meilen,Bezirk Meilen,2006,Beratungsgespräche,1485,
Samowar Bezirk Meilen,Bezirk Meilen,2006,Stunden Beratungsarbeit,1717,
Jugendberatung Stadt Zürich,Zürich,2007,Beratungen,427,
Jugendberatung Stadt Zürich,Zürich,2007,Beratungsstunden,4616,
Jugendberatung Stadt Zürich,Zürich,2007,TelEMailBeratung,847,
Samowar Bezirk Meilen,Bezirk Meilen,2007,Beratungsfälle,177,
Samowar Bezirk Meilen,Bezirk Meilen,2007,Beratungsgespräche,1330,
Samowar Bezirk Meilen,Bezirk Meilen,2007,Stunden Beratungsarbeit,1547,
Jugendberatung Stadt Zürich,Zürich,2008,Beratungen,491,
Jugendberatung Stadt Zürich,Zürich,2008,Beratungsstunden,5207,
Jugendberatung Stadt Zürich,Zürich,2008,TelEMailBeratung,929,
Samowar Bezirk Meilen,Bezirk Meilen,2008,Beratungsfälle,196,
Samowar Bezirk Meilen,Bezirk Meilen,2008,Beratungsgespräche,1357,
Samowar Bezirk Meilen,Bezirk Meilen,2008,Stunden Beratungsarbeit,1676,
Jugendberatung Stadt Zürich,Zürich,2009,Beratungen,505,
Jugendberatung Stadt Zürich,Zürich,2009,Beratungsstunden,5005,
Jugendberatung Stadt Zürich,Zürich,2009,TelEMailBeratung,948,
Samowar Bezirk Meilen,Bezirk Meilen,2009,Beratungsfälle,203,
